user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
M1_25.62.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (3.1%)
M1_25.63.filtered	d__Bacteria;p__WOR-3;c__WOR-3;o__SM23-42;f__SM23-42;g__SM23-42;s__	N/A	N/A	N/A	N/A	N/A	GCA_001303785.1	95.0	d__Bacteria;p__WOR-3;c__WOR-3;o__SM23-42;f__SM23-42;g__SM23-42;s__SM23-42 sp001303785	77.94	0.291	d__Bacteria;p__WOR-3;c__WOR-3;o__SM23-42;f__SM23-42;g__SM23-42;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_014859085.1, s__SM23-42 sp014859085, 95.0, 76.15, 0.094	87.37	11	0.91657	N/A
M1_25.64.filtered	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__UBA7950;f__UBA9294;g__UBA9294;s__	N/A	N/A	N/A	N/A	N/A	GCA_003545155.1	95.0	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__UBA7950;f__UBA9294;g__UBA9294;s__UBA9294 sp003545155	76.53	0.111	d__Bacteria;p__Bipolaricaulota;c__Bipolaricaulia;o__UBA7950;f__UBA9294;g__UBA9294;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	65.17	11	0.86469	N/A
M1_25.66.filtered	d__Bacteria;p__RBG-13-66-14;c__B26-G2;o__WVWN01;f__WVWN01;g__WVWN01;s__	N/A	N/A	N/A	N/A	N/A	GCA_011773985.1	95.0	d__Bacteria;p__RBG-13-66-14;c__B26-G2;o__WVWN01;f__WVWN01;g__WVWN01;s__WVWN01 sp011773985	80.5	0.602	d__Bacteria;p__RBG-13-66-14;c__B26-G2;o__WVWN01;f__WVWN01;g__WVWN01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	49.23	11	0.87967	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
M1_25.67.filtered	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__JACNFS01;s__	N/A	N/A	N/A	N/A	N/A	GCA_014384515.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__JACNFS01;s__JACNFS01 sp014384515	91.6	0.325	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__JACNFS01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_016783225.1, s__JACNFS01 sp016783225, 95.0, 83.93, 0.35	27.98	11	0.94825	N/A
M1_25.68.filtered	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__MSB-5A5;f__SM23-73-2;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001304315.1	95.0	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__MSB-5A5;f__SM23-73-2;g__SM23-73-2;s__SM23-73-2 sp001304315	78.15	0.108	d__Bacteria;p__Zixibacteria;c__MSB-5A5;o__MSB-5A5;f__SM23-73-2;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	62.15	11	0.74751	Genome has more than 12.5% of markers with multiple hits
M1_25.69.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.3%)
M1_25.7.filtered	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAFGEY01;f__JAFGEY01;g__BS750m-G44;s__	N/A	N/A	N/A	N/A	N/A	GCA_016783145.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAFGEY01;f__JAFGEY01;g__BS750m-G44;s__BS750m-G44 sp016783145	79.86	0.185	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__JAFGEY01;f__JAFGEY01;g__BS750m-G44;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	40.61	11	0.87385	Genome has more than 10.8% of markers with multiple hits
M1_25.70.filtered	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__SOJS01;g__SOJS01;s__	N/A	N/A	N/A	N/A	N/A	GCA_004376435.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__SOJS01;g__SOJS01;s__SOJS01 sp004376435	77.05	0.13	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__SOJS01;g__SOJS01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	10.92	11	0.85782	N/A
M1_25.71.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.4%)
M1_25.72.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.8%)
M1_25.73.filtered	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
M1_25.74.filtered	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Thermoguttaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	19.34	11	0.78232	N/A
M1_25.77.filtered	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__Methyloceanibacter sp018067145	GCA_018067145.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__Methyloceanibacter sp018067145	95.93	0.792	GCA_018067145.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__Methyloceanibacter sp018067145	95.93	0.792	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001723305.1, s__Methyloceanibacter superfactus, 95.0, 80.65, 0.771; GCF_001723295.1, s__Methyloceanibacter marginalis, 95.0, 79.32, 0.493; GCA_002390155.1, s__Methyloceanibacter sp002390155, 95.0, 78.45, 0.389; GCA_016649675.1, s__Methyloceanibacter sp016649675, 95.0, 78.23, 0.472; GCA_002383105.1, s__Methyloceanibacter sp002383105, 95.0, 78.17, 0.444; GCF_003071365.1, s__Methyloceanibacter sp003071365, 95.0, 78.04, 0.458; GCA_016869535.1, s__Methyloceanibacter sp016869535, 95.0, 78.02, 0.354; GCF_001723285.1, s__Methyloceanibacter methanicus, 95.0, 77.98, 0.444; GCA_014380485.1, s__Methyloceanibacter sp014380485, 95.0, 77.94, 0.326; GCF_000828475.1, s__Methyloceanibacter caenitepidi, 95.0, 77.86, 0.438; GCA_002482645.1, s__Methyloceanibacter sp002482645, 95.0, 77.82, 0.472; GCA_003135455.1, s__Methyloceanibacter sp003135455, 95.0, 77.82, 0.396; GCF_001723355.1, s__Methyloceanibacter stevinii, 95.0, 77.78, 0.438	22.7	11	N/A	N/A
M1_25.79.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.3%)
M1_25.8.filtered	d__Bacteria;p__Planctomycetota;c__DG-23;o__DG-23;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001302825.1	95.0	d__Bacteria;p__Planctomycetota;c__DG-23;o__DG-23;f__DG-23;g__DG-23;s__DG-23 sp001302825	78.85	0.003	d__Bacteria;p__Planctomycetota;c__DG-23;o__DG-23;f__;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	16.2	11	0.60099	N/A
M1_25.80.filtered	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__B25-G16;g__B33-G16;s__	N/A	N/A	N/A	N/A	N/A	GCA_015223015.1	95.0	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__B25-G16;g__B33-G16;s__B33-G16 sp015223015	83.59	0.341	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__B25-G16;g__B33-G16;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_013375385.1, s__B33-G16 sp013375385, 95.0, 81.52, 0.267; GCA_003646875.1, s__B33-G16 sp003646875, 95.0, 79.15, 0.21; GCA_013375335.1, s__B33-G16 sp013375335, 95.0, 77.39, 0.152	59.95	11	0.93545	Genome has more than 10.0% of markers with multiple hits
M1_25.82.filtered	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__	ANI	classification based on placement in class-level tree	GCF_001723285.1, s__Methyloceanibacter methanicus, 95.0, 79.28, 0.445; GCA_002482645.1, s__Methyloceanibacter sp002482645, 95.0, 79.18, 0.432; GCF_003071365.1, s__Methyloceanibacter sp003071365, 95.0, 78.84, 0.418; GCF_000828475.1, s__Methyloceanibacter caenitepidi, 95.0, 78.82, 0.417; GCF_001723355.1, s__Methyloceanibacter stevinii, 95.0, 78.81, 0.421; GCF_001723295.1, s__Methyloceanibacter marginalis, 95.0, 78.75, 0.36; GCF_001723305.1, s__Methyloceanibacter superfactus, 95.0, 78.32, 0.376; GCA_018067145.1, s__Methyloceanibacter sp018067145, 95.0, 78.31, 0.388; GCA_002390155.1, s__Methyloceanibacter sp002390155, 95.0, 77.83, 0.457; GCA_016869535.1, s__Methyloceanibacter sp016869535, 95.0, 77.44, 0.235; GCA_016649675.1, s__Methyloceanibacter sp016649675, 95.0, 76.99, 0.252; GCA_003135455.1, s__Methyloceanibacter sp003135455, 95.0, 76.93, 0.184; GCA_002383105.1, s__Methyloceanibacter sp002383105, 95.0, 76.92, 0.282; GCA_014380485.1, s__Methyloceanibacter sp014380485, 95.0, 76.89, 0.277	97.34	11	0.96336	N/A
M1_25.83.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.1%)
M1_25.84.filtered	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__HGW-15;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_016930795.1	95.0	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__HGW-15;g__JAFGFY01;s__JAFGFY01 sp016930795	77.38	0.059	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__HGW-15;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	63.72	11	0.79622	N/A
M1_25.85.filtered	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
M1_25.86.filtered	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA10428;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	34.75	11	0.79421	N/A
M1_25.87.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.7%)
M1_25.88.filtered	d__Bacteria;p__Planctomycetota;c__DTLF01;o__DTLF01;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011371585.1	95.0	d__Bacteria;p__Planctomycetota;c__DTLF01;o__DTLF01;f__DTLF01;g__DTLF01;s__DTLF01 sp011371585	77.31	0.007	d__Bacteria;p__Planctomycetota;c__DTLF01;o__DTLF01;f__;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	73.71	11	0.53817	N/A
M1_25.89.filtered	d__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__0-14-0-80-60-11;g__DTKJ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__0-14-0-80-60-11;g__DTKJ01;s__	ANI	classification based on placement in class-level tree	GCA_011389355.1, s__DTKJ01 sp011389355, 95.0, 78.93, 0.363; GCA_011358955.1, s__DTKJ01 sp011358955, 95.0, 78.63, 0.34; GCA_011333555.1, s__DTKJ01 sp011333555, 95.0, 77.74, 0.299	61.95	11	0.89349	N/A
M1_25.9.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.4%)
M1_25.90.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (8.1%)
M1_25.91.filtered	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__HGW-15;g__JAFGFY01;s__	N/A	N/A	N/A	N/A	N/A	GCA_016930795.1	95.0	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__HGW-15;g__JAFGFY01;s__JAFGFY01 sp016930795	85.67	0.555	d__Bacteria;p__Desulfobacterota;c__DSM-4660;o__Desulfatiglandales;f__HGW-15;g__JAFGFY01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	39.2	11	0.93098	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
M1_25.94.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.4%)
M1_25.96.filtered	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	23.59	11	0.73961	N/A
M1_25.98.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.5%)
user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
M1_3.1.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.5%)
M1_3.10.filtered	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
M1_3.100.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.8%)
M1_3.101.filtered	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFB01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__JAACFB01;s__	ANI	classification based on placement in class-level tree	GCA_013138675.1, s__JAACFB01 sp013138675, 95.0, 78.02, 0.177; GCA_009937615.1, s__JAACFB01 sp009937615, 95.0, 76.51, 0.13; GCA_011772865.1, s__JAACFB01 sp011772865, 95.0, 76.39, 0.165	13.48	11	0.91412	N/A
M1_3.102.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.3%)
M1_3.103.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.0%)
M1_3.104.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (9.4%)
M1_3.105.filtered	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__	N/A	N/A	N/A	N/A	N/A	GCA_004282875.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__UBA1847 sp004282875	78.97	0.504	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__UBA1847;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_009937605.1, s__UBA1847 sp009937605, 95.0, 81.03, 0.67; GCA_013042375.1, s__UBA1847 sp013042375, 95.0, 78.19, 0.466; GCA_009937445.1, s__UBA1847 sp009937445, 95.0, 77.47, 0.228; GCA_013043165.1, s__UBA1847 sp013043165, 95.0, 77.37, 0.291; GCA_013001045.1, s__UBA1847 sp013001045, 95.0, 77.18, 0.305; GCA_002338605.1, s__UBA1847 sp002338605, 95.0, 77.07, 0.166; GCA_002685275.1, s__UBA1847 sp002685275, 95.0, 77.05, 0.025; GCA_905480215.1, s__UBA1847 sp905480215, 95.0, 76.61, 0.164; GCA_018699395.1, s__UBA1847 sp018699395, 95.0, 76.57, 0.166	40.05	11	0.95828	Genome has more than 57.5% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
M1_3.106.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (1.6%)
M1_3.107.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (9.0%)
M1_3.108.filtered	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__JAGTVG01;s__	N/A	N/A	N/A	N/A	N/A	GCA_018224645.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__JAGTVG01;s__JAGTVG01 sp018224645	74.85	0.016	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__JAGTVG01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	15.71	11	0.86521	N/A
M1_3.109.filtered	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__M0029;s__	N/A	N/A	N/A	N/A	N/A	GCA_006227875.1	95.0	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__M0029;s__M0029 sp006227875	85.81	0.791	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5704;f__UBA5704;g__M0029;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	75.77	11	0.96418	Genome has more than 17.5% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
M1_3.11.filtered	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__SMWR01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_013215605.1	95.0	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__SMWR01;g__JABSQW01;s__JABSQW01 sp013215605	76.86	0.114	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__SMWR01;g__;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	63.64	11	0.78275	N/A
M1_3.110.filtered	d__Bacteria;p__Desulfobacterota;c__DSWW01;o__DSWW01;f__DSWW01;g__S015-6;s__	N/A	N/A	N/A	N/A	N/A	GCA_015486285.1	95.0	d__Bacteria;p__Desulfobacterota;c__DSWW01;o__DSWW01;f__DSWW01;g__S015-6;s__S015-6 sp015486285	78.56	0.36	d__Bacteria;p__Desulfobacterota;c__DSWW01;o__DSWW01;f__DSWW01;g__S015-6;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	11.48	11	0.88907	N/A
M1_3.111.filtered	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	26.63	11	0.90892	N/A
M1_3.112.filtered	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__JAGTVG01;s__	N/A	N/A	N/A	N/A	N/A	GCA_018224645.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__JAGTVG01;s__JAGTVG01 sp018224645	75.38	0.035	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__JAGTVG01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	50.77	11	0.87473	N/A
M1_3.113.filtered	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__SZUA-117;s__	N/A	N/A	N/A	N/A	N/A	GCA_905480255.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__SZUA-117;s__SZUA-117 sp905480255	92.94	0.383	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Woeseiales;f__Woeseiaceae;g__SZUA-117;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_003645495.1, s__SZUA-117 sp003645495, 95.0, 80.23, 0.36; GCA_004357475.1, s__SZUA-117 sp004357475, 95.0, 76.66, 0.149; GCA_018701055.1, s__SZUA-117 sp018701055, 95.0, 76.39, 0.076; GCA_003229095.1, s__SZUA-117 sp003229095, 95.0, 75.97, 0.135	44.9	11	0.92026	Genome has more than 46.7% of markers with multiple hits
M1_3.114.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.1%)
M1_3.115.filtered	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__SG8-38;s__	N/A	N/A	N/A	N/A	N/A	GCA_003647035.1	95.0	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__SG8-38;s__SG8-38 sp003647035	81.36	0.543	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__SG8-38;g__SG8-38;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_013002645.1, s__SG8-38 sp013002645, 95.0, 79.88, 0.389; GCA_004283055.1, s__SG8-38 sp004283055, 95.0, 79.32, 0.394; GCA_001303415.1, s__SG8-38 sp001303415, 95.0, 78.02, 0.301	46.88	11	0.96553	Genome has more than 15.8% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius
M1_3.116.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
M1_3.117.filtered	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-36;g__SZUA-36;s__	N/A	N/A	N/A	N/A	N/A	GCA_013042835.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-36;g__SZUA-36;s__SZUA-36 sp013042835	77.09	0.14	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__SZUA-36;g__SZUA-36;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_014238945.1, s__SZUA-36 sp014238945, 95.0, 76.98, 0.084; GCA_003233115.1, s__SZUA-36 sp003233115, 95.0, 76.83, 0.086	22.58	11	0.93248	N/A
M1_3.118.filtered	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__UBA5794;f__UBA5794;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	14.18	11	0.72695	N/A
M1_3.119.filtered	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__	N/A	N/A	N/A	N/A	N/A	GCA_905479705.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__UBA9214 sp905479705	78.85	0.393	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA9214;f__UBA9214;g__UBA9214;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_905480305.1, s__UBA9214 sp905480305, 95.0, 80.77, 0.306; GCA_003454335.1, s__UBA9214 sp003454335, 95.0, 79.29, 0.334; GCA_013041945.1, s__UBA9214 sp013041945, 95.0, 77.04, 0.166; GCA_905480065.1, s__UBA9214 sp905480065, 95.0, 76.79, 0.178	51.15	11	0.93223	Genome has more than 11.7% of markers with multiple hits
M1_3.12.filtered	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.1%)
